Relative Pressure (p/p°);Quantity Adsorbed (cm³/g STP);Relative Pressure (p/p°);Quantity Adsorbed (cm³/g STP)
4,29539E-05;4,972917807;0,991502875;323,2827177
5,83953E-05;9,89228328;0,933556635;311,6612259
6,05138E-05;14,8141783;0,838641597;304,3276387
7,15139E-05;19,73398289;0,704721709;302,2888834
9,09725E-05;24,65450418;0,560745873;301,4775467
0,000116374;29,57603653;0,436512188;297,6995811
0,000124408;34,4995218;0,337131914;290,4264335
0,000139224;39,42297463;0,222905289;285,0784237
0,000153608;44,34565359;;
0,000177305;49,27019823;;
0,0001828;54,19532792;;
0,000216239;59,12333799;;
0,000221317;64,05;;
0,000237183;68,97768047;;
0,000250085;73,90466854;;
0,000264058;78,8329985;;
0,000270183;83,76179859;;
0,000281834;88,68974257;;
0,000296213;93,61964861;;
0,000311467;98,54911931;;
0,000334735;103,4770147;;
0,000330692;108,4087577;;
0,000341093;113,3382492;;
0,000346584;118,2675059;;
0,000352698;123,1969024;;
0,000363516;128,1288313;;
0,000374312;133,057949;;
0,000384035;137,9880107;;
0,000384006;142,9167227;;
0,000401972;147,8458079;;
0,000406424;152,7784509;;
0,000410249;157,706723;;
0,000437327;162,6342355;;
0,000432432;167,5686098;;
0,000444494;172,5055983;;
0,000446586;177,4387925;;
0,000454845;182,3691877;;
0,000462916;187,303471;;
0,000474289;192,2389852;;
0,000468344;197,1784307;;
0,000485701;202,10979;;
0,000495228;207,035391;;
0,000513241;211,9632457;;
0,000517848;216,907373;;
0,000545606;221,8345423;;
0,000556594;226,7746142;;
0,000566972;231,7058663;;
0,000628721;236,6211996;;
0,000686695;241,5805436;;
0,000812517;246,4691398;;
0,001132244;251,3724539;;
0,001923505;256,1510135;;
0,004007636;260,6560729;;
0,008815426;264,6411056;;
0,01727708;267,9350248;;
0,029150714;270,6247392;;
0,043346407;272,8883446;;
0,063190111;275,2183932;;
0,08539521;277,2185249;;
0,109360299;278,954158;;
0,218909864;285,0155547;;
0,333890496;290,2409221;;
0,452113304;294,9174773;;
0,57415086;298,9148615;;
0,710487874;300,7759212;;
0,842188152;303,1488428;;
0,946037348;309,338208;;
0,991502875;323,2827177;;
